title,company,location,experience_level,years_experience_min,years_experience_max,degree_requirements,confidence_score,needs_review,source,url,skills_keywords,work_areas
Mechanical Analyst Engineer - Process Automation,Oklo,"Santa Clara, CA or Remote",Associate,,,"PhD (preferred), Associate's",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5711598004,"Python, Go, ANSYS, FEA, Communication","Renewable Energy, Nuclear, Circular Economy, Supply Chain, Manufacturing"
Mechanical Design Engineer - Fuel Manufacturing,Oklo,"Idaho Falls, ID or Remote",Lead/Principal,4,10,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5680752004,"Python, Go, CAD, ANSYS, Mechanical Engineering, Communication","Renewable Energy, Electric Vehicles, Nuclear, Circular Economy, Supply Chain, Manufacturing"
Mechatronics Engineer,Oklo,"Santa Clara, CA or Remote",Lead/Principal,5,10,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5677684004,"MATLAB, Go, CAD, ANSYS, Electrical Engineering, Mechanical Engineering, Chemical Engineering, Communication","Renewable Energy, Nuclear, Circular Economy, Supply Chain, Manufacturing"
Neutronics Analysis Engineer,Oklo,"Santa Clara, CA or remote",Associate,,,"PhD (preferred), Associate's",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5637818004,"Python, Go, Communication","Renewable Energy, Nuclear, Circular Economy, Supply Chain"
Nuclear Criticality Safety Engineer,Oklo,"Santa Clara, CA or Remote",Associate,3,3,"PhD (preferred), Associate's with 3+ years (preferred)",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5466513004,"Go, Chemical Engineering, Communication","Renewable Energy, Nuclear, Circular Economy, Supply Chain"
Open Call for 3D Visual Artist Freelancers and Studios (Contract),Oklo,"Santa Clara, CA or Remote",Senior,3,5,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5787456004,"Go, Marketing, Communication","Renewable Energy, Nuclear, Circular Economy, Supply Chain"
Radioactive Waste Handling Engineer,Oklo,"Santa Clara, CA or Remote",Senior,5,5,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5681333004,"Go, Communication","Energy Storage, Renewable Energy, Electric Vehicles, Nuclear, Circular Economy, Supply Chain, Policy & Advocacy"
Reactor Operator,Oklo,"Austin, Texas area",Executive,,,"Associate's, High School with 3 years (required)",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5741763004,"Go, Communication","Renewable Energy, Nuclear, Circular Economy, Supply Chain"
Regulatory Engineer,Oklo,"Santa Clara, CA or Remote",Associate,,,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5013750004,"Go, Communication","Renewable Energy, Nuclear, Circular Economy, Supply Chain, Manufacturing"
Risk Analysis Engineer,Oklo,"Santa Clara, CA or Remote",Senior,3,5,"PhD with 3-5 years (preferred), Bachelor's with 3-5 years (preferred), Associate's",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5589041004,"Python, Go, Mechanical Engineering, Communication","Renewable Energy, Nuclear, Circular Economy, Supply Chain"
Safety Analysis Engineer,Oklo,"Santa Clara, CA or Remote",Associate,,,"PhD (required), Associate's",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5637090004,"Python, Go, CI/CD, Communication","Renewable Energy, Nuclear, Circular Economy, Supply Chain"
Security Engineer,Oklo,Santa Clara or Remote,Associate,,,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5218928004,"Go, Communication","Renewable Energy, Nuclear, Circular Economy, Supply Chain"
Senior Counsel,Oklo,Remote,Senior,5,7,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5776025004,"Go, Agile, Finance, Communication","Renewable Energy, Nuclear, Circular Economy, Supply Chain"
Senior Mechanical Design Engineer - Reactor Module,Oklo,"Santa Clara, CA or Remote",Executive,8,8,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5743023004,"Go, CAD, Mechanical Engineering, Communication","Renewable Energy, Electric Vehicles, Nuclear, Circular Economy, Supply Chain, Manufacturing"
Senior Process Controls Engineer,Oklo,"Santa Clara, CA or Remote",Senior,10,10,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5477979004,"Go, PLC, Electrical Engineering, Communication","Renewable Energy, Nuclear, Materials, Circular Economy, Supply Chain"
Senior Software Engineer,Oklo,"Santa Clara, CA or Remote",Senior,8,8,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5739483004,"Python, JavaScript, Go, Rust, CI/CD, Statistics, Communication","Renewable Energy, Electric Vehicles, Nuclear, Circular Economy, Supply Chain"
Site Project Manager,Oklo,"Oak Ridge, TN",Associate,,,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5739128004,"Go, Communication","Renewable Energy, Nuclear, Circular Economy, Supply Chain"
Software Engineer,Oklo,"Santa Clara, CA or Remote",Associate,3,3,"Bachelor's with 3+ years (preferred), Associate's",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/4018702004,"Python, JavaScript, Go, Rust, CI/CD, Statistics, Communication","Energy Storage, Renewable Energy, Nuclear, Circular Economy, Supply Chain"
Software Engineer (Infrastructure) ,Oklo,"Santa Clara, CA",Associate,3,3,"Bachelor's with 3 years (required), Associate's",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5784826004,"Python, Go, Rust, AWS, Docker, CI/CD, Terraform, CAD, CFD, Communication","Renewable Energy, Nuclear, Circular Economy, Supply Chain"
Software Quality Assurance Lead,Oklo,"Any location, Santa Clara, California, United States",Lead/Principal,5,5,Associate's (required),1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5480416004,"Python, JavaScript, Go, Rust, CI/CD, Statistics, Electrical Engineering, Communication","Energy Storage, Renewable Energy, Nuclear, Circular Economy, Supply Chain"
"Sr. Manager, Hardware Test Engineering",Oklo,"Idaho Falls, ID Preferred; remote possible",Senior,10,10,"PhD (preferred), Associate's",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5641268004,"Go, Communication","Renewable Energy, Nuclear, Circular Economy, Supply Chain"
State and Local Government Affairs Manager ,Oklo,"Remote, local to East Tennessee or Southern Ohio",Senior,5,7,Associate's (required),1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5728622004,"Go, Communication","Renewable Energy, Nuclear, Circular Economy, Supply Chain, Policy & Advocacy"
State and Local Permitting Specialist,Oklo,"Santa Clara, CA or Remote",Associate,,,"PhD (required), Associate's (required)",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5775085004,"Go, Sustainability, Communication","Renewable Energy, Nuclear, Circular Economy, Supply Chain, Policy & Advocacy"
"Systems Engineer, Requirements and Integration",Oklo,"Santa Clara, CA or Remote",Senior,3,5,"Bachelor's with 3+ years (required), Associate's with 3+ years (required)",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5649054004,"Go, Communication","Renewable Energy, Electric Vehicles, Nuclear, Circular Economy, Supply Chain"
Systems Thermal-Hydraulics Methods Engineer,Oklo,"Santa Clara, CA or remote",Associate,,,"PhD (required), Associate's",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5740747004,"Python, Go, CI/CD, Communication","Renewable Energy, Nuclear, Circular Economy, Supply Chain"
Technical Sourcing Lead ,Oklo,"Santa Clara, CA or Idaho Falls, ID or Remote",Lead/Principal,3,5,"Bachelor's with 3-5 years (required), Associate's",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5705512004,"Go, Sales, Finance, Communication","Renewable Energy, Nuclear, Circular Economy, Supply Chain, Manufacturing"
Thermal Hydraulic Test Engineer,Oklo,"Idaho Falls, ID",Senior,4,5,"Bachelor's with 4 years (preferred), Associate's with 4 years (preferred)",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/oklo/jobs/5710536004,"Go, Project Management, Communication","Renewable Energy, Nuclear, Circular Economy, Supply Chain"
Digital Marketing Manager,Carbon Direct,United States - Remote,Associate,,,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/carbondirect/jobs/5008244007,"SQL, Sales, Marketing","Carbon Removal, Climate Data, Climate Finance"
General Application,Carbon Direct,Remote,Associate,,,Associate's (preferred),1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/carbondirect/jobs/4117885007,,Climate Finance
Social Scientist,Carbon Direct,United States - Remote,Associate,,,"PhD, Associate's (preferred)",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/carbondirect/jobs/5007997007,Finance,"Carbon Removal, Climate Finance, Policy & Advocacy"
Industrial Decarbonization Intern,Carbon Direct,United States - Remote,Internship,,,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/carbondirect/jobs/5008252007,"Data Analysis, Chemical Engineering, LCA, Sustainability, Excel, Communication","Energy Storage, Electric Vehicles, Carbon Removal, Materials, Climate Data, Climate Finance"
People Operations Associate,Carbon Direct,United States - Remote,Associate,,,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/carbondirect/jobs/5040231007,"Project Management, Excel","Carbon Removal, Climate Data, Supply Chain, Climate Finance"
Scientific Project Reviewers,Carbon Direct,Remote,Associate,,,"PhD, Associate's",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/carbondirect/jobs/4192394007,,"Carbon Removal, Climate Data, Climate Finance"
Technical Due Diligence Consultant,Carbon Direct,Remote,Associate,,,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/carbondirect/jobs/4716713007,Communication,"Carbon Removal, Climate Data, Supply Chain, Climate Finance"
"Director, Accounting",Sunnova,"Houston, TX",Executive,10,10,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/sunnova/jobs/4822971008,Communication,Renewable Energy
Join the Sunnova Talent Pool!,Sunnova,"Houston, TX; United States",Associate,,,Associate's (required),1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/sunnova/jobs/4493628008,Solar,Renewable Energy
General Submissions,Kettle,Remote,Associate,,,,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kettle/jobs/7637905002,,Agriculture
Cell Design Intern (Spring/Summer),Solid Power,"486 South Pierce Ave. Louisville, CO 80027",Internship,,,Associate's (preferred),1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/solidpower/jobs/5784553004,"Python, Battery Technology",Energy Storage
"Director, Corporate Counsel ",Solid Power,"Thornton, CO",Executive,4,4,"Master's (required), Associate's",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/solidpower/jobs/5764932004,"R, Battery Technology, Marketing, Finance, Excel, Communication",Energy Storage
Mechanical Maintenance Technician II/Senior,Solid Power,"Thornton, Colorado",Senior,2,2,"Associate's (required), High School (required)",0.7999999999999999,FALSE,Greenhouse API,https://job-boards.greenhouse.io/solidpower/jobs/5793579004,"R, Battery Technology","Energy Storage, Electric Vehicles, Built Environment, Manufacturing"
Technology Integration Formulation Engineer I/II,Solid Power,"Louisville, CO",Associate,,,"Master's (required), Bachelor's (required), Associate's",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/solidpower/jobs/5802369004,"R, Chemical Engineering, Battery Technology, Communication","Energy Storage, Manufacturing"
General Interest Application,Solid Power,"Thornton/Louisville, CO",Associate,,,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/solidpower/jobs/5337846004,"R, Battery Technology, Communication","Energy Storage, Electric Vehicles"
ADAS / Autonomous Driving Sensor Calibration & Localization Engineer ,Lucid Motors,"Newark, CA",Senior,5,5,"PhD with 5+ years (preferred), Associate's",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/lucidmotors/jobs/4766714007,"Python, Electrical Engineering, Communication","Electric Vehicles, Nuclear, Manufacturing"
ADAS Software Integration Engineer,Lucid Motors,"Newark, CA",Senior,3,5,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/lucidmotors/jobs/4954042007,Communication,Electric Vehicles
ANDON Tech ,Lucid Motors,"Casa Grande, AZ",Lead/Principal,18,18,"Associate's, High School with 18 years (required)",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/lucidmotors/jobs/5041366007,"Excel, Communication","Electric Vehicles, Manufacturing"
"Assistant Manager, New Launch and Change Control",Lucid Motors,"King Abdullah Economic City, 02",Lead/Principal,2,10,,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/lucidmotors/jobs/4557274007,Communication,"Electric Vehicles, Circular Economy, Supply Chain, Manufacturing"
Associate Service Technician Coolidge,Lucid Motors,"Coolidge, AZ",Executive,3,18,Associate's,0.7999999999999999,FALSE,Greenhouse API,https://job-boards.greenhouse.io/lucidmotors/jobs/5004324007,Communication,Electric Vehicles
Inside Sales Associate,Lucid Motors,"Phoenix, AZ",Associate,2,3,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/lucidmotors/jobs/4957536007,"Sales, Marketing, Communication",Electric Vehicles
Interactive Media and Instructional Designer ,Lucid Motors,"Fremont, CA",Associate,,,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/lucidmotors/jobs/4915643007,"CAD, Project Management",Electric Vehicles
Lead Senior Financial Analyst (Corporate),Lucid Motors,"Newark, CA",Lead/Principal,3,5,Master's with 5+ years (preferred),1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/lucidmotors/jobs/5026088007,"Finance, Excel, Communication",Electric Vehicles
"Maintenance Engineer - Mechanical, Body in White",Lucid Motors,"King Abdullah Economic City, 02",Senior,3,5,Associate's (required),1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/lucidmotors/jobs/4839170007,"CAD, Mechanical Engineering, Excel, Communication","Electric Vehicles, Manufacturing"
"Staff Electrical Engineer, Power Electronics - BMS",Lucid Motors,"Newark, CA",Senior,5,5,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/lucidmotors/jobs/4955213007,"Electrical Engineering, Battery Technology, Communication","Energy Storage, Electric Vehicles, Supply Chain, Manufacturing"
"Admin Assistant, Engineering",Lucid Motors,"Newark, CA",Entry-Level,1,2,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/lucidmotors/jobs/5015108007,"Project Management, Excel, Communication","Electric Vehicles, Supply Chain"
Android Software Engineer,Lucid Motors,"Southfield, MI",Entry-Level,2,2,"Master's (preferred), Bachelor's (preferred), Associate's",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/lucidmotors/jobs/4848004007,Java,Electric Vehicles
Assistant Manager - Packaging Engineering,Lucid Motors,"King Abdullah Economic City, 02",Lead/Principal,2,10,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/lucidmotors/jobs/4838999007,"CAD, Sustainability, Communication","Electric Vehicles, Materials, Supply Chain, Manufacturing"
"Assistant Manager, Production Planning & Control",Lucid Motors,"King Abdullah Economic City, 02",Lead/Principal,7,10,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/lucidmotors/jobs/4996819007,"Project Management, Sales, Finance, Communication","Electric Vehicles, Supply Chain, Manufacturing"
"Assistant Service Manager - 2nd Shift - Riviera Beach, FL",Lucid Motors,"Riviera Beach, FL",Associate,3,3,"Bachelor's with 3 years (preferred), Associate's",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/lucidmotors/jobs/4918245007,Communication,Electric Vehicles
Accounting Summer Intern,Kairos Power,"Alameda, CA ",Internship,,,Associate's (or equivalent),1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5719713004,"Data Analysis, Finance, Excel","Renewable Energy, Nuclear"
ASME Quality Control Program Manager,Kairos Power,"Albuquerque, NM ",Senior,7,7,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5250036004,Communication,"Renewable Energy, Electric Vehicles, Nuclear, Manufacturing"
"BIM Senior Engineer I, Civil Structures (Revit Focused)",Kairos Power,"Alameda, CA or Remote in US",Senior,5,10,"Master's (preferred), Bachelor's with 7-10 years (required), Associate's",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5568825004,Communication,"Renewable Energy, Nuclear, Supply Chain"
Buyer I,Kairos Power,"Alameda, CA",Entry-Level,1,1,"Bachelor's with 1+ years (required), Associate's with 1+ years (required)",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5688296004,"Excel, Communication","Renewable Energy, Electric Vehicles, Nuclear, Supply Chain, Manufacturing"
Electrical Engineering Internship - Summer 2026,Kairos Power,"Alameda, CA or Albuquerque, NM ",Internship,,,"PhD (or equivalent), Master's (or equivalent), Bachelor's (or equivalent), Associate's",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5632633004,"Electrical Engineering, Mechanical Engineering, Chemical Engineering, Excel, Communication","Renewable Energy, Nuclear"
Facilities Electrical Technician,Kairos Power,"Albuquerque, NM",Associate,3,3,"Associate's (required), High School (or equivalent)",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5569287004,HVAC,"Renewable Energy, Electric Vehicles, Nuclear, Grid & Transmission, Built Environment, Manufacturing"
Marketing & Communications Intern,Kairos Power,"Albuquerque, NM ",Internship,3,3,"Master's with 3 years (or equivalent), Associate's",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5719856004,"Marketing, Communication","Renewable Energy, Electric Vehicles, Nuclear, Manufacturing"
Materials Computational Scientist Intern - Summer 2026,Kairos Power,"Alameda, CA ",Internship,,,"PhD (or equivalent), Master's (or equivalent), Associate's",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5763259004,"Python, SQL, Machine Learning, Communication","Renewable Energy, Nuclear"
Mechanical and Manufacturing Engineering Internship - Summer 2026,Kairos Power,"Alameda, CA or Albuquerque, NM ",Internship,,,"PhD (or equivalent), Associate's",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5632637004,"MATLAB, CAD, ANSYS, Mechanical Engineering, Excel, Communication","Renewable Energy, Electric Vehicles, Nuclear, Manufacturing"
"Chief of Staff to Vice President, Business Development & Finance",Kairos Power,"Alameda, CA",Executive,5,5,"Master's with 5+ years (preferred), Associate's",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5702780004,"Finance, Communication","Renewable Energy, Electric Vehicles, Nuclear, Manufacturing"
Computational Fluid Dynamics (CFD) Engineering Intern - Summer 2026,Kairos Power,"Alameda, CA",Internship,2,2,"PhD with 2+ years (or equivalent), Master's with 2+ years (or equivalent), Bachelor's with 2+ years (or equivalent), Associate's (or equivalent)",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5763780004,"Data Analysis, CAD, CFD, Mechanical Engineering, Communication","Renewable Energy, Nuclear"
Construction Projects Summer Intern,Kairos Power,"Albuquerque, NM or Oak Ridge, TN",Internship,,,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5722108004,"CAD, Excel, Communication","Renewable Energy, Electric Vehicles, Nuclear"
"Director, Product Cost",Kairos Power,"Alameda, CA or Albuquerque, NM ",Executive,,,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5681086004,"Python, Data Science, Data Analysis, Finance, Excel, Communication","Renewable Energy, Nuclear, Supply Chain, Manufacturing"
Early Career Professionals - Graduating 2025/2026,Kairos Power,"Alameda, CA, Albuquerque, NM, or Oak Ridge, TN ",Associate,,,,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5644550004,,"Renewable Energy, Nuclear"
Experienced Professionals,Kairos Power,"Alameda, CA, Albuquerque, NM, or Oak Ridge, Tennessee",Associate,,,,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/4101384004,,"Renewable Energy, Nuclear"
Fabricator - Pipe Spools,Kairos Power,"Albuquerque, NM",Associate,1,3,"Associate's (required), High School with 1-3 years",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5650279004,CAD,"Renewable Energy, Electric Vehicles, Nuclear, Manufacturing"
Facilities Mechanical Technician,Kairos Power,"Albuquerque, NM",Associate,3,3,"Associate's, High School (or equivalent)",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5565340004,"HVAC, Communication","Energy Storage, Renewable Energy, Electric Vehicles, Nuclear, Grid & Transmission, Built Environment, Manufacturing"
Finance Intern - Summer 2026,Kairos Power,Remote,Internship,,,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5718787004,"SQL, Finance, Excel","Renewable Energy, Nuclear, Supply Chain"
Fuels Process Engineer,Kairos Power,"Albuquerque, NM",Senior,5,5,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5616605004,"CAD, Mechanical Engineering, Chemical Engineering, Communication","Renewable Energy, Electric Vehicles, Nuclear, Materials, Supply Chain, Manufacturing"
Fuels Program Mechanical Technologist,Kairos Power,"Albuquerque, NM",Senior,6,6,"Associate's (preferred), High School with 6+ years (preferred)",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5600847004,,"Renewable Energy, Electric Vehicles, Nuclear, Agriculture, Manufacturing"
Government Affairs Internship ,Kairos Power,"Alameda, CA or Albuquerque, NM ",Internship,,,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5728492004,Communication,"Renewable Energy, Nuclear, Policy & Advocacy"
Learning and Development Intern,Kairos Power,"Alameda, CA",Internship,,,"Bachelor's, Associate's",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5783290004,Communication,"Renewable Energy, Nuclear"
Machinist III,Kairos Power,"Richmond, CA",Senior,5,5,"Associate's, High School with 5+ years (required)",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5597984004,CAD,"Renewable Energy, Electric Vehicles, Nuclear, Manufacturing"
"Manager, Commercial Program Management",Kairos Power,"Alameda, CA or Remote",Senior,5,5,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5702751004,"Project Management, Communication","Renewable Energy, Nuclear, Supply Chain"
Manufacturing Integration Engineer,Kairos Power,"Albuquerque, NM",Senior,7,7,"Master's (preferred), Associate's",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5624181004,"Mechanical Engineering, Project Management, Agile, Communication","Renewable Energy, Electric Vehicles, Nuclear, Materials, Supply Chain, Manufacturing"
Material Control Specialist,Kairos Power,"Albuquerque, NM",Entry-Level,2,2,"Associate's with 2+ years (preferred), High School with 2+ years (preferred)",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5586338004,"Excel, Communication","Energy Storage, Renewable Energy, Electric Vehicles, Nuclear, Supply Chain, Manufacturing"
Mechanical Design and Qualification Engineer,Kairos Power,"Albuquerque, NM",Associate,,,"Master's (or equivalent), Bachelor's (or equivalent), Associate's",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5556422004,"CAD, Mechanical Engineering, Communication","Renewable Energy, Electric Vehicles, Carbon Removal, Nuclear, Circular Economy, Manufacturing"
"Mechanical Engineer, Fuels Program",Kairos Power,"Albuquerque, NM",Senior,6,6,"Bachelor's with 6+ years (or equivalent), Associate's with 6+ years (or equivalent)",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5667161004,"CAD, SCADA, Mechanical Engineering, Chemical Engineering, Communication","Renewable Energy, Electric Vehicles, Nuclear, Agriculture, Manufacturing"
Mechanical Test Engineer,Kairos Power,"Alameda, CA",Associate,3,3,Associate's with 3+ years,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5653604004,"CAD, FEA, CFD, Mechanical Engineering, Communication","Renewable Energy, Electric Vehicles, Nuclear, Manufacturing"
Network Engineer - IT Infrastructure ,Kairos Power,"Albuquerque, NM ",Senior,3,7,Associate's with 3+ years (or equivalent),1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5341440004,"AWS, Azure, GCP, Terraform, Communication","Renewable Energy, Electric Vehicles, Nuclear, Manufacturing"
Non-Destructive Evaluation (NDE) Engineer,Kairos Power,"Alameda, CA or Albuquerque, NM ",Lead/Principal,10,10,"PhD with 10+ years (preferred), Master's with 10+ years (preferred), Bachelor's with 10+ years (preferred), Associate's with 10+ years (preferred)",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5464801004,"Electrical Engineering, Mechanical Engineering, Project Management, Communication","Renewable Energy, Electric Vehicles, Nuclear, Manufacturing"
Nuclear Safety Analysis Engineering Intern - Summer 2026,Kairos Power,"Albuquerque, NM ",Internship,,,"PhD (required), Master's (required), Associate's",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5764688004,"Python, R, Docker, Chemical Engineering, Communication","Renewable Energy, Nuclear"
"Operator in Oak Ridge, TN (Albuquerque, NM to start)",Kairos Power,"Albuquerque, NM and Oak Ridge, TN ",Entry-Level,2,2,"Bachelor's with 2+ years (or equivalent), Associate's",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5148694004,Excel,"Renewable Energy, Electric Vehicles, Nuclear, Manufacturing"
Operators ,Kairos Power,"Albuquerque, NM ",Entry-Level,2,2,Associate's with 2+ years (or equivalent),1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5158596004,"Excel, Communication","Renewable Energy, Electric Vehicles, Nuclear, Manufacturing"
"Plant Manager, Engineering Operations",Kairos Power,"Albuquerque, NM",Lead/Principal,5,10,"Bachelor's with 10+ years (preferred), Associate's",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5540310004,"Mechanical Engineering, Chemical Engineering","Renewable Energy, Electric Vehicles, Nuclear, Supply Chain, Manufacturing"
"Process Engineer, Molten Salt Inventory Management System ",Kairos Power,"Albuquerque, NM or Alameda, CA",Associate,,,Associate's (required),1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5677856004,"CAD, Mechanical Engineering, Chemical Engineering, Communication","Renewable Energy, Electric Vehicles, Nuclear, Materials, Manufacturing"
Quality Innovation Intern,Kairos Power,"Albuquerque, NM ",Internship,,,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5712521004,"Python, Docker, Data Analysis, Communication","Renewable Energy, Electric Vehicles, Nuclear, Manufacturing"
Regulatory Compliance Engineer - Licensing,Kairos Power,"Oak Ridge, TN ",Associate,3,3,"Bachelor's with 3+ years (or equivalent), Associate's",1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5632455004,Communication,"Renewable Energy, Electric Vehicles, Nuclear, Agriculture, Manufacturing"
Reliability Engineering Intern,Kairos Power,"Albuquerque, NM ",Internship,,,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5695279004,"Python, Docker, Data Analysis, Mechanical Engineering, Chemical Engineering, Communication","Renewable Energy, Electric Vehicles, Nuclear, Manufacturing"
Senior Civil Structural Engineer,Kairos Power,"Alameda, CA",Senior,2,5,Associate's,1,FALSE,Greenhouse API,https://job-boards.greenhouse.io/kairospower/jobs/5599622004,Communication,"Renewable Energy, Nuclear"
